1073,1876.5,1663,1947,1274,517.5,560,304.5,176,100,100.5,102,78.5,42,23.5,NaN,2011.5,1801,2113.5,1438,625,734.5,417,241,128.5,109,98.5,72,38,21.5,NaN,NaN,639.5,1084.5,635.5,412,789.5,585.5,409,223.5,169.5,128.5,86.5,41,23.5,NaN,NaN,NaN,363.5,419.5,417,980,802.5,626.5,399,388.5,368,270.5,129,63,NaN,NaN,NaN,NaN,126.5,232.5,501.5,469.5,425,356.5,547,671.5,539.5,262,123.5,NaN,NaN,NaN,NaN,NaN,314.5,1056,847.5,731,654.5,1121.5,1392.5,1184.5,595.5,274.5,NaN,NaN,NaN,NaN,NaN,NaN,468.5,568.5,371,377,763.5,1034,864,428,201.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143,325.5,328.5,712.5,1009.5,852.5,419.5,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308,953,1898.5,2238.5,2038,1378,699.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,700.5,1847,2311,2074.5,1382,700.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1613.5,2075,1924.5,1170.5,540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1292,1147,600,306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.5,117.5,66.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.5,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37
1048.5,1855,1646.5,1925,1250,506,548,303.5,176.5,102,104.5,107.5,83.5,44,25.5,NaN,1981,1774.5,2084,1408.5,602,718,405.5,236,126,111,99,73.5,39,22.5,NaN,NaN,614.5,1051,609,399.5,766.5,568.5,399,219,165,126.5,85,42,23.5,NaN,NaN,NaN,358,413,411,970.5,792.5,616.5,395,391,376,278,131.5,64,NaN,NaN,NaN,NaN,126.5,234.5,517.5,481.5,431.5,365.5,566,700,562.5,273.5,129,NaN,NaN,NaN,NaN,NaN,318.5,1077,872.5,748.5,672,1166,1437.5,1231.5,624,287,NaN,NaN,NaN,NaN,NaN,NaN,477,576.5,378,389,802.5,1082.5,906,449.5,211.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142,323,336,744,1056.5,893.5,442,221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.5,973.5,1945.5,2299.5,2093.5,1421.5,735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,730.5,1892,2372,2132.5,1436,732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1670,2130,1973.5,1222,562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1338,1188,625,318.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223.5,119.5,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.5,36.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5
1071.5,1874,1659.5,1943.5,1269.5,516.5,554.5,304,175.5,99,98.5,99,77.5,41,23.5,NaN,2018.5,1807,2117.5,1436.5,627,742,419,243.5,128,109.5,97,71,38,22,NaN,NaN,652.5,1096,644,420,799.5,590,413,226.5,171.5,129,85,41,23.5,NaN,NaN,NaN,367.5,421.5,419.5,986.5,809,632.5,400.5,387,364.5,267,126,62,NaN,NaN,NaN,NaN,126.5,231.5,496,464,421,351.5,533,655,526,253.5,120.5,NaN,NaN,NaN,NaN,NaN,313,1045.5,838.5,722,642,1094,1361,1151.5,577.5,268,NaN,NaN,NaN,NaN,NaN,NaN,465,563.5,367.5,368.5,746.5,1008,838.5,414.5,194.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144,325.5,322.5,690.5,983.5,827,406.5,206.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308,930.5,1871,2203,2002.5,1345.5,675.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,679,1815,2271.5,2040,1355.5,673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1577,2051,1892.5,1137,518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1253.5,1111,582.5,298.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212,115,65.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36
893,1719,1517,1792.5,1100,428,461,257,149,84.5,80.5,78,61,33,20,NaN,1861,1666,1969,1284,523,617,348,204,108.5,89.5,78.5,57.5,31.5,19.5,NaN,NaN,536.5,923,516,332.5,633,469.5,329,183,137.5,103.5,70,34.5,21,NaN,NaN,NaN,286.5,321,325.5,783.5,651.5,517.5,329.5,313.5,291.5,212.5,101.5,51,NaN,NaN,NaN,NaN,114.5,213.5,486,459.5,415.5,327,444.5,525,412.5,200,95.5,NaN,NaN,NaN,NaN,NaN,297,1017.5,840,720.5,592,908.5,1119.5,912,447,206,NaN,NaN,NaN,NaN,NaN,NaN,463.5,557,382.5,348,614,805,659,323,154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155,319,296.5,567,791.5,660.5,322,165.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308,810.5,1681,1956.5,1776.5,1126,540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560.5,1595.5,2007,1802,1122.5,536.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1302,1784.5,1648,907,406.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013,886,461.5,239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169.5,91.5,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.5,30.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32
907,1726,1522.5,1799.5,1108,433,464,255,150,85.5,79.5,77,59.5,33,20,NaN,1864.5,1666.5,1972.5,1292,523.5,621,348,205.5,108.5,89.5,78.5,57,31,19.5,NaN,NaN,538,925,518.5,334,636.5,471,330.5,183.5,137.5,103.5,69.5,35,19.5,NaN,NaN,NaN,286,321.5,323,782,650,515,326.5,310.5,288.5,211,101,51,NaN,NaN,NaN,NaN,114.5,212,479,454.5,410.5,324,438.5,514,406,195.5,93.5,NaN,NaN,NaN,NaN,NaN,296,1007,829,713.5,587.5,899,1100,899,442,203,NaN,NaN,NaN,NaN,NaN,NaN,460,552.5,379.5,345,610.5,798,649.5,317.5,152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155.5,320.5,295,561.5,782.5,652,318.5,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,311,806,1667.5,1944,1765.5,1116,533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.5,1582,1994.5,1790,1106.5,527.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1287.5,1767,1632.5,901,403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1004.5,883.5,456.5,236.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168.5,93.5,52.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.5
911,1729.5,1524,1802.5,1110,434,468.5,257.5,151,84.5,80,78.5,61.5,33,20,NaN,1868,1664.5,1974,1292.5,527.5,625.5,351,205,108.5,89,79.5,58.5,31,20,NaN,NaN,539,929.5,519,334,637.5,472,333.5,183.5,138,104,71,35.5,19.5,NaN,NaN,NaN,286.5,323,324.5,782.5,651,518.5,328.5,312.5,291,212.5,102,51.5,NaN,NaN,NaN,NaN,113.5,212.5,479.5,453.5,411,322,442.5,516.5,411.5,198,94.5,NaN,NaN,NaN,NaN,NaN,295,1008.5,823.5,709.5,586.5,904,1114,909,444,205,NaN,NaN,NaN,NaN,NaN,NaN,460,553.5,379,346.5,611.5,800,658,322,153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154.5,320,296,568,794,661.5,323,167.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,310.5,813.5,1675,1947,1773.5,1127,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,563,1590,2000.5,1798,1117.5,533.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1306,1782,1645,910.5,409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1019.5,891.5,460.5,239.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171,93.5,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5
900,1722.5,1517,1794.5,1100.5,425.5,455.5,249.5,145,85,85,87.5,69.5,38,22,NaN,1858,1661.5,1967.5,1285,517.5,606.5,338,197.5,106.5,92,85,63.5,33.5,20.5,NaN,NaN,535.5,919,514,327.5,618,455,322,177.5,138.5,107.5,73,37,21,NaN,NaN,NaN,296,331,326.5,778.5,639.5,506.5,328.5,330,320,238,114.5,57,NaN,NaN,NaN,NaN,112,204.5,446.5,419,381,320.5,493,607,490,237.5,113,NaN,NaN,NaN,NaN,NaN,282.5,954,771.5,665.5,599.5,1032,1292.5,1090,543,249.5,NaN,NaN,NaN,NaN,NaN,NaN,426,513,345,350,705.5,956.5,798.5,394,186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134,298.5,304.5,659.5,939.5,792.5,392,197.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,292,875,1814.5,2143.5,1950.5,1302.5,647.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,644.5,1757,2199.5,1982,1307.5,644.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1512,1979.5,1834,1092,496.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1217,1081.5,560,284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,208.5,114,63.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34
887.5,1714,1514,1792.5,1095,425,455.5,251,146,85,87.5,89.5,71,38,22,NaN,1850.5,1655.5,1959,1277,510,604.5,337,197,106,92.5,85,63.5,34.5,21,NaN,NaN,529,913.5,510.5,326.5,615,453.5,319.5,177.5,138,107.5,73,37.5,21,NaN,NaN,NaN,295.5,331,326.5,783,642,507.5,330,335,325,241.5,116,57.5,NaN,NaN,NaN,NaN,111.5,208,457,428.5,386.5,326.5,499.5,621.5,498,242,116,NaN,NaN,NaN,NaN,NaN,288,971.5,786.5,680,608.5,1050,1319,1108,555.5,254.5,NaN,NaN,NaN,NaN,NaN,NaN,437,522,351.5,356.5,718.5,978.5,815.5,400.5,190.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.5,298.5,308.5,670,957.5,806,398,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,292,889,1831.5,2161,1973,1321,662.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,655,1776,2224,2003,1327.5,657.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1533,1999,1850.5,1105,506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1236,1087,569.5,293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,211.5,115.5,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.5,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34
916.5,1736.5,1532,1813,1116.5,435.5,462,253.5,147,84,84.5,86.5,68,37.5,21.5,NaN,1869.5,1678.5,1976.5,1291,523,614,340,198,106,92,84,62.5,34,21,NaN,NaN,547.5,939.5,523,329.5,620,457.5,323,179.5,137.5,106.5,72.5,36.5,21.5,NaN,NaN,NaN,295.5,328.5,325.5,773.5,637,505.5,328.5,327,317,234,111.5,56.5,NaN,NaN,NaN,NaN,112,204,443,416,378,317,479,589.5,472.5,230.5,110,NaN,NaN,NaN,NaN,NaN,280.5,941,757.5,657.5,586.5,1000,1264.5,1059,525.5,243,NaN,NaN,NaN,NaN,NaN,NaN,424,509.5,340.5,342,682,927,769.5,380,179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.5,298,297.5,634,908.5,764.5,374.5,191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,293.5,854.5,1785,2102.5,1916.5,1264.5,627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.5,1723.5,2157.5,1941.5,1266,618.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1467.5,1939,1799.5,1051,478.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1178.5,1041.5,549.5,277.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,204.5,113,64.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.5,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5
883.5,1696,1490.5,1769.5,1074,420.5,462,258,153,84,68,59,44.5,26,16.5,NaN,1842,1645.5,1948.5,1271.5,515.5,618.5,353.5,207,108.5,82.5,65.5,47,25,16.5,NaN,NaN,516,887,492,317,614.5,458.5,324.5,175.5,126,92.5,61,31,17.5,NaN,NaN,NaN,265,297.5,307.5,770.5,643.5,510.5,312,268.5,228.5,161.5,77,40,NaN,NaN,NaN,NaN,113.5,220,529,508,451.5,318.5,347,357,269.5,129,65,NaN,NaN,NaN,NaN,NaN,311,1114,956.5,821.5,590,695.5,755.5,580,276,129.5,NaN,NaN,NaN,NaN,NaN,NaN,522,636.5,456,350,461.5,526.5,411,202,98.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.5,365,284,404,511,414.5,201,111.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,347,686,1321,1522.5,1341,714.5,331.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,410.5,1160,1571.5,1350,707,328.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,844,1250.5,1147,572,252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.5,543.5,287,159.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,65,39.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.5,27.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30
